epoch,fid
1,15.31728830043416
2,9.551560673511288
3,7.334358843137121
4,6.890139375053836
5,6.7599310076108905
6,5.491223511394038
7,6.114357412951518
8,5.430790782428048
9,5.273733413865637
10,4.997074359620488
11,5.149129223576681
12,5.477588481802549
13,4.9271924181495335
14,5.070492553344797
15,5.0683370482059935
16,5.166176989541425
17,4.899203435952133
18,4.742058795647347
19,4.661554189211141
20,4.692380064396268
21,4.722924418271159
22,4.7601146442976425
23,5.229496021095175
24,4.568021893187374
25,5.010469856997288
26,4.730569573760798
27,5.303534777207969
28,4.8986355882182435
29,4.6045365313818785
30,4.180817409459024
31,4.773570576043124
32,4.4350611226624945
33,4.251298205609032
34,4.223245865837732
35,4.534722579809891
36,4.572032988575371
37,4.118704486036329
38,4.9276177692285215
39,4.937397169652295
40,5.055075310997712
41,4.405574486522681
42,4.485867029846425
43,4.409203435027036
44,4.282020181948294
45,4.287423165083707
46,4.650100646460267
47,4.53454411392835
48,5.028523489652345
49,4.409016472786998
50,4.710454722859309
